Metric,Real qW,Inferred qW,Δ (Abs),Δ (%)
MAE,0.34971644947627206,0.11798411142611315,-0.23173233805015891,-66.26
RMSE,0.35663935454926554,0.14238896088025055,-0.214250393669015,-60.07
R2,-5.63208476366665,-0.05716841502795078,5.574916348638699,-98.98
